Table 1.10. Gross Domestic Income by Type of Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1.10. Gross Domestic Income by Type of Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: February 20, 2026 - Next Release Date March 13, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020
Line,,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,        Gross domestic income,5927.4,5973.1,6034.5,6098.2,6155.9,6284.7,6375.3,6427,6532.2,6546,6664.3,6717.1,6885.1,6956.2,7098.2,7205.8,7331.7,7401.9,7481,7610.5,7697,7820.3,7967.2,8066.8,8210.1,8350,8474.8,8648.9,8795.5,8894.4,9046.5,9210.8,9325.2,9486,9567.9,9695.9,9892.2,10156.1,10287.4,10442.4,10501.1,10679.4,10732.1,10718.7,10664.4,10826.8,10967.3,11051.7,11197.3,11245.8,11377,11565.4,11734.4,11916,12148.5,12376.1,12540.6,12750.1,12964.8,13180.6,13489.4,13795.9,13973.1,14125,14207.5,14342,14511.4,14465.1,14529.2,14574.1,14617.9,14711,14411.7,14162.6,14188.4,14263.6,14530.8,14652.5,14865.7,15136.2,15263.7,15358.9,15573.1,15700.3,15863.8,16274.8,16379.7,16329.3,16646.7,16711.5,16848.8,16947,17134.7,17313.4,17652.7,17928.9,18101.3,18212.9,18381.1,18460.8,18497.2,18592.1,18630.4,18800.9,18984.7,19237,19405.9,19601.6,19932.2,20205,20470.2,20760.8,20936.3,21211.3,21369.4,21557.7,21793.4,21753.4
2,"Compensation of employees, paid",3384.1,3389.9,3430.3,3472.7,3520.2,3598.7,3654.9,3691.4,3739.9,3748.7,3803.5,3837.4,3892.8,3917.3,3995.6,4035.8,4092.1,4138.5,4176.9,4223.8,4269.5,4318.4,4391.6,4455.3,4519,4596.6,4664.3,4743.3,4848.7,4946.4,5032.8,5119.5,5204.2,5295,5351.5,5430.5,5562.8,5756.3,5799.3,5911.5,5951.4,6057.9,6048.8,6032.7,6046,6068.7,6137.3,6165.3,6202.2,6221.9,6315.8,6402.4,6509.2,6550.8,6678.5,6813.4,6874.5,6937.7,7017.1,7134.2,7221.8,7391.4,7439.6,7498.5,7635.6,7817,7856.2,7895.4,7988.9,8067.8,8066.3,8085.3,8055.4,7739.4,7770.3,7754.5,7804.6,7774.6,7918.2,7990.2,8048.9,8177.7,8214.1,8295.3,8248.9,8464.3,8512.1,8554.3,8770.8,8740.9,8828.1,8854.2,8951.3,9123.3,9181.9,9290.2,9443.1,9573.6,9676,9762,9826.5,9862.4,9916.2,10009.6,10120.2,10234.6,10346.6,10489.2,10669.5,10793.2,10901.1,11052.5,11123.9,11340.5,11400.6,11465,11627.9,11788.8
3,    Wages and salaries,2774.8,2774.1,2802.8,2830.9,2861.2,2915.9,2955,2979.4,3023.8,3019,3069.8,3096.9,3144.9,3156.6,3227.4,3262.7,3315.7,3362.1,3399.3,3443,3484.1,3528.3,3594,3651.3,3708.7,3780.5,3840,3907.4,3997.1,4079.3,4149.9,4222,4293.5,4372.7,4416.9,4480.2,4591,4758.7,4786.6,4878.8,4905.7,4987.2,4969.3,4944.1,4946,4953.9,5006.4,5020.5,5035.5,5035.7,5109.8,5177.4,5264.9,5284,5390.8,5502.5,5546.1,5586.1,5649.4,5749.8,5826.7,5983.1,6024.2,6073,6193,6354.7,6381.4,6407.7,6485.3,6552.3,6544.1,6558,6529.4,6234.6,6262.8,6245.2,6286.6,6240.2,6368.2,6430.5,6481.4,6584.9,6615.9,6689.7,6645.7,6844.2,6884.3,6914.2,7101.8,7052.2,7111.5,7121.5,7205.1,7367.7,7418.9,7512.6,7643.9,7755.9,7840.7,7913.3,7968.5,8003.5,8050.2,8130.4,8224.9,8321.3,8412.8,8529.1,8676.9,8772.7,8853.5,8979.5,9034.7,9233.3,9285,9341,9488.8,9636.6
4,            To persons,2771,2770.5,2798.9,2826.8,2856.6,2911.1,2950.2,2974.7,3018.9,3014.2,3064.7,3091.8,3139.4,3150.9,3221.4,3256.7,3309.6,3355.9,3393,3436.7,3477.7,3522.3,3587.8,3645,3702.1,3774.1,3833.4,3900.7,3990.1,4072.5,4143.1,4215,4286.1,4360.4,4405.1,4469.4,4579.8,4747.1,4774.7,4866.9,4893.6,4975,4956.9,4931.4,4933.2,4941.3,4993.8,5007.5,5022.5,5022.4,5096.7,5164.1,5251.3,5269.7,5376,5488,5531.3,5569.8,5633.1,5733.5,5810,5966.3,6007.6,6056.8,6176,6338.6,6365.1,6392.3,6468.7,6534.1,6527.3,6541.8,6511.8,6219.9,6248.8,6231.4,6273.4,6227.3,6354.8,6416.6,6467.6,6571.2,6602.1,6675.5,6631.5,6830.2,6869.8,6899.7,7087.6,7037.3,7096.3,7106.2,7189.7,7352.1,7402.9,7496.5,7627.8,7739.6,7824.2,7896.4,7951.4,7986.2,8032.8,8113,8207.6,8304.7,8395.8,8511.9,8659.8,8755.8,8836.5,8962,9017.3,9214.9,9266.3,9322,9469.2,9620.6
5,            To the rest of the world,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,12.3,11.8,10.7,11.2,11.6,11.9,11.9,12.1,12.3,12.4,12.7,12.7,12.6,12.7,13,13.1,13.3,13.1,13.4,13.6,14.3,14.7,14.4,14.7,16.2,16.3,16.4,16.7,16.7,16.6,16.2,17,16.2,16.3,15.4,16.6,18.3,16.8,16.2,17.6,14.7,14,13.7,13.2,12.9,13.5,13.9,13.8,13.7,13.8,14.2,14.1,14,14.5,14.5,14.2,14.9,15.2,15.3,15.5,15.6,16,16.1,16.1,16.3,16.5,16.9,17.1,17.2,17.3,17.4,17.3,16.6,17,17.2,17.1,16.9,17,17.5,17.5,18.3,18.7,19,19.6,16
6,    Supplements to wages and salaries,609.3,615.8,627.5,641.8,659,682.8,699.9,712,716.1,729.6,733.8,740.5,747.9,760.7,768.2,773,776.5,776.3,777.7,780.8,785.4,790.1,797.6,804,810.2,816,824.3,835.9,851.6,867.1,882.8,897.4,910.7,922.3,934.6,950.3,971.8,997.7,1012.7,1032.7,1045.8,1070.7,1079.5,1088.6,1100,1114.9,1130.8,1144.8,1166.6,1186.2,1205.9,1225,1244.3,1266.8,1287.7,1310.9,1328.4,1351.6,1367.7,1384.4,1395.2,1408.3,1415.4,1425.4,1442.6,1462.2,1474.8,1487.6,1503.6,1515.5,1522.2,1527.2,1526,1504.8,1507.5,1509.3,1518.1,1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640,1669,1688.7,1716.6,1732.7,1746.2,1755.6,1763.1,1777.6,1799.2,1817.7,1835.4,1848.7,1858,1858.9,1866,1879.2,1895.3,1913.3,1933.8,1960.1,1992.7,2020.5,2047.6,2073,2089.2,2107.2,2115.6,2124,2139.1,2152.2
7,Taxes on production and imports,434.2,444,451.6,461.3,471.5,476.4,481.2,486,489.9,489.7,497.6,504.9,520.3,531.5,544.4,550.5,554.6,555.3,553.6,558.9,563.8,570.4,577.7,581.8,593.2,595.7,610.4,616.6,623.8,629.1,635.5,643,650.3,657.5,667.1,679,690.7,698.6,707.3,711.3,717.1,724.2,724.1,725.3,737.1,744,751.3,768.5,776.3,788.6,800,813,820.9,847.3,859.9,871.3,893.8,915.1,937.3,952.1,965.3,981.8,991.7,1004.1,1010.5,1025.9,1033.1,1035.8,1052.6,1045.7,1054.7,1058.5,1040,1015.9,1017.3,1028.8,1045.3,1044.6,1062.1,1069.1,1076.4,1091.5,1105.5,1103.9,1114,1130.9,1133.9,1131.3,1148.4,1175.4,1179.4,1190.2,1198.3,1215.9,1234.8,1245.6,1254.4,1259.1,1270.9,1275.8,1288,1292.5,1297.5,1320.1,1326.4,1336.9,1353.5,1372,1393.5,1423.3,1440.9,1463.6,1500.6,1508.3,1520.2,1553.6,1552.4,1555.3
8,Less: Subsidies1,27,27.1,27.2,27.5,28.1,28.6,29.2,30.4,32.2,35.5,37.6,37.7,36,33.6,32.4,31.9,32.2,34,34.6,35.1,35.5,35.5,35.4,35.2,34.8,34.4,33.6,33.4,33.8,33.8,35,36.8,39.9,42.4,45,46.4,46.9,45.1,45.5,45.8,47,55.2,62,71.2,46.4,42.6,39.8,41.3,41.9,47.1,57.1,45.9,46,44.2,43.7,45.4,52.3,56.7,60.7,62,64.2,55.7,51.5,49.9,48.7,49.5,58.2,55.9,54.7,51.9,51.7,52,54.6,55.4,55.5,67.1,55.5,54.8,55.5,56,56.9,58.9,59.9,60.2,61.1,58.4,58.1,56.3,59.4,59.4,60.1,60,59.4,58.7,58.5,58.2,57,56,56.4,57.7,58.7,60.7,62.4,63,60.9,59.4,58,61.9,60.2,58.7,58.2,57.8,78.5,69.1,58.9,81.2,82.7,80.7
9,Net operating surplus,1229.3,1247.4,1250.9,1253.9,1248.4,1290,1313.3,1316.7,1360.3,1356.9,1403.2,1403.8,1486.4,1507.7,1543.6,1589.2,1637.2,1643,1669.3,1732.1,1755.4,1811.4,1865.9,1883,1936.6,1978.7,2002.5,2074.7,2091.9,2071.4,2113.2,2166.3,2171.7,2217.3,2211.1,2222.2,2242.4,2267.3,2320.1,2340.5,2344.7,2386.1,2427.2,2420.2,2301.8,2419.1,2469.3,2494.9,2579.9,2587.4,2609.6,2670.2,2703.5,2788.1,2850.2,2901.6,2949.9,3042.4,3122,3166.6,3332.6,3408,3486.3,3531.2,3432.1,3334,3439.3,3324.3,3252.7,3192.7,3201.4,3243.2,2978.1,3075.2,3087.2,3188.5,3366.8,3513.5,3558.2,3741.1,3782.9,3711.4,3849.8,3873.7,4052.8,4199.8,4227.8,4109.9,4177,4221.3,4237.1,4267.8,4310.4,4258,4492.7,4613.2,4596.6,4545,4577.7,4543.8,4490.5,4536.4,4484.2,4513.9,4543.2,4635.4,4634.9,4631.9,4722.4,4797.7,4891.2,4968.1,5019,5013.2,5044.7,5120.5,5166.7,4920.1
10,    Private enterprises,1226.4,1241.5,1242.8,1245.2,1238.2,1280.3,1302.8,1305.3,1350.2,1347.3,1391.5,1392,1473.9,1494.9,1530.9,1576.5,1624.9,1626.5,1653.1,1715.5,1738.5,1794.2,1848.5,1864.8,1918.3,1960.8,1984,2056.7,2074,2054.6,2096,2149.1,2155.6,2199.5,2193.8,2205.4,2227,2252.4,2306.5,2330.4,2337.5,2379.9,2422.6,2411.1,2299.1,2414.5,2463.8,2484.5,2570.1,2580.3,2603.9,2666,2700,2786.1,2849,2902.1,2951.2,3044.5,3125,3171,3336.9,3410.3,3491,3538.4,3441.4,3345.9,3451.6,3336.5,3267.8,3208.8,3218.5,3260.3,2994.7,3090.8,3101.4,3202.1,3381.6,3529.8,3576.6,3760.7,3802.7,3730.9,3868.1,3891.2,4068.9,4214.4,4241.8,4123,4189.9,4233.9,4251,4282,4324.1,4268.4,4501.6,4621,4603.4,4549.5,4581.3,4545.9,4491.7,4536.9,4486.7,4516.6,4546.2,4639.6,4639.4,4636.4,4726.3,4800.9,4894.1,4972.5,5026.8,5026.5,5059.6,5133.5,5174.1,4920.9
11,"        Net interest and miscellaneous payments, domestic industries",469.3,454.3,442.6,437.4,417.9,412,404.1,394.9,392.9,400.9,391.1,384.9,382.7,377.5,384.4,390.2,406.5,408.3,408.9,409.6,407.9,400.7,410.9,418.7,433.2,440.9,449,459.1,472.9,492.8,513.2,524,517.4,513.6,502.8,520.9,538,556.2,592.2,623.3,643.2,651.6,654.1,632.6,570.2,547.9,553,547.8,552.4,544.7,521.4,515.7,493.3,451.7,449.4,458.7,476.4,511.6,556.5,590.2,638.2,644.2,726.2,723.4,714.7,752.1,830,828.1,843.8,828.8,837.5,884,856.8,776.1,719.4,669.7,659.8,646.2,621.6,584.2,589,591.6,580.5,553.9,573.6,621.6,641,569,608.3,562.3,543.4,551.9,553.4,560,575.3,596.6,614.9,632.3,672.9,673.2,666.4,669.7,658.7,662.1,676.4,719.4,715.6,721.2,725.8,746.2,753.8,752.1,773.5,772,770.1,736.8,739.2,730.2
